ED,Reported,AaronS. Foldenauer,DianneMorales,ScottM. Stringer,RaymondJ. McGuire,MayaD. Wiley,PaperboyLove Prince,ArtChang,KathrynA. Garcia,EricL. Adams,IsaacWright Jr.,ShaunDonovan,AndrewYang,JoycelynTaylor,WRITE-IN,,,,,,,,,,,,,,
AD23-ED1,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED 2,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED 3,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED 4,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED 5,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED 6,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED 7,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED 8,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED 9,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED10,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED11,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED12,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED13,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED14,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED15,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED16,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED17,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED18,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED19,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED20,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED21,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED22,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED23,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED24,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED25,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AD23-ED26,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
